CustomerID,Recency,Frequency,Monetary,Cluster,Segment
15777,240,5,1021.61,-1,Outlier
15262,323,1,178.95000000000002,6,At-Risk
12645,33,5,1755.38,-1,Outlier
13422,50,2,2601.55,-1,Outlier
13931,85,3,1230.93,-1,Outlier
12752,80,1,4366.78,-1,Outlier
13416,43,2,712.5,3,Outlier
17733,38,2,692.19,3,Outlier
16182,71,4,6617.65,-1,Outlier
16161,1,20,5352.97,-1,Outlier
13300,164,2,365.29,3,Outlier
12648,154,1,318.05,-1,Outlier
14336,16,4,1614.91,-1,Outlier
17340,8,12,11891.18,-1,Outlier
16179,60,1,215.83,5,One-Time
16188,44,4,981.86,1,Loyal
13955,153,2,322.96,3,Outlier
13294,189,2,873.74,-1,Outlier
12630,9,2,1270.88,-1,Outlier
13011,371,1,50.550000000000004,4,Churned
16968,3,2,439.43,3,Outlier
18141,360,1,-35.400000000000006,-1,Outlier
17468,9,2,137.0,3,Outlier
15655,232,2,511.32,3,Outlier
13952,210,3,3246.091,-1,Outlier
15113,9,4,3439.41,-1,Outlier
14589,371,1,39.75,4,Churned
14321,10,5,1530.75,-1,Outlier
17739,11,8,2786.05,-1,Outlier
15384,169,3,635.76,-1,Outlier
16697,240,1,112.75,6,At-Risk
14461,147,3,2103.06,-1,Outlier
17090,3,8,2041.8500000000001,-1,Outlier
14083,3,9,1018.43,-1,Outlier
16027,91,7,852.12,-1,Outlier
15652,90,1,337.74,5,One-Time
13169,63,2,712.88,3,Outlier
13410,8,6,988.91,-1,Outlier
15122,84,4,1612.13,-1,Outlier
15247,121,1,356.0,-1,Outlier
17343,354,1,193.64,4,Churned
12642,24,3,1013.26,2,Regular
16295,9,4,1328.55,-1,Outlier
13940,16,4,839.14,1,Loyal
13800,309,1,558.32,-1,Outlier
16036,86,2,758.92,3,Outlier
15646,157,4,425.14000000000004,-1,Outlier
14720,5,3,663.81,2,Regular
17614,56,1,390.07,5,One-Time
18126,60,1,206.82999999999998,5,One-Time
16432,63,1,287.4,5,One-Time
17736,8,4,337.49,-1,Outlier
12639,238,1,486.1,-1,Outlier
16947,235,1,406.48,-1,Outlier
13928,10,4,464.57,1,Loyal
14205,10,3,218.78,-1,Outlier
13806,63,1,256.38,5,One-Time
12502,95,5,3723.87,-1,Outlier
17081,24,2,290.16,3,Outlier
18019,51,1,38.45,5,One-Time
14059,266,1,183.6,6,At-Risk
17075,17,5,813.77,0,VIP
14863,28,1,266.76,5,One-Time
13803,254,1,277.07,6,At-Risk
12374,24,1,742.9300000000001,-1,Outlier
17361,48,3,488.2,2,Regular
16950,56,3,1178.56,-1,Outlier
13678,151,1,232.6,6,At-Risk
15381,213,2,596.85,-1,Outlier
13032,38,3,996.52,2,Regular
16554,2,4,641.55,1,Loyal
16834,227,1,413.46,-1,Outlier
16033,5,21,8727.61,-1,Outlier
17337,150,5,1944.32,-1,Outlier
14583,5,5,1052.55,0,VIP
13291,155,1,361.11,-1,Outlier
15512,155,2,121.0,-1,Outlier
14470,11,2,461.19,3,Outlier
15923,372,1,127.08,4,Churned
13154,143,1,-611.86,-1,Outlier
13946,78,3,561.5699999999999,2,Regular
12490,4,10,5417.93,-1,Outlier
16572,126,4,999.7,-1,Outlier
17218,3,10,1960.72,-1,Outlier
16170,50,7,1880.4199999999998,-1,Outlier
14089,56,1,161.0,5,One-Time
14851,22,2,511.35,3,Outlier
13809,304,1,155.05,6,At-Risk
15527,18,9,2348.82,-1,Outlier
14741,11,6,1400.34,-1,Outlier
16185,16,2,529.41,3,Outlier
16313,2,2,274.15000000000003,3,Outlier
17230,263,9,3466.67,-1,Outlier
17623,32,1,527.0500000000001,5,One-Time
13160,21,1,91.8,5,One-Time
17105,158,2,665.78,-1,Outlier
17489,58,2,376.64,3,Outlier
13434,73,2,534.24,3,Outlier
12770,210,1,1351.45,-1,Outlier
16551,95,3,922.12,-1,Outlier
15774,68,1,270.8,5,One-Time
12371,44,2,1887.96,-1,Outlier
14452,10,2,264.44,3,Outlier
14345,38,1,108.97999999999999,5,One-Time
16042,21,6,1147.37,-1,Outlier
14217,1,18,1925.3600000000001,-1,Outlier
18129,242,1,112.55000000000001,6,At-Risk
15119,245,1,266.4,6,At-Risk
14586,226,2,134.16,-1,Outlier
16566,14,6,614.01,-1,Outlier
17608,32,2,193.42,3,Outlier
14348,259,1,409.57,-1,Outlier
13681,17,4,827.83,1,Loyal
15658,189,6,958.9,-1,Outlier
14211,52,10,2208.3,-1,Outlier
15506,22,3,979.26,2,Regular
14199,217,1,185.39999999999998,6,At-Risk
14339,234,2,289.90999999999997,3,Outlier
12779,20,9,3868.7,-1,Outlier
18016,31,5,1483.56,0,VIP
17730,2,14,5288.83,-1,Outlier
17620,59,1,81.44,5,One-Time
13404,0,2,252.49,3,Outlier
15006,50,1,502.09,5,One-Time
18281,180,1,80.82,6,At-Risk
14071,3,9,1307.41,-1,Outlier
15920,153,4,167.5,-1,Outlier
14860,8,2,168.62,3,Outlier
13949,2,6,2427.32,-1,Outlier
17885,11,1,190.19,5,One-Time
18123,23,2,589.4399999999999,3,Outlier
14866,10,13,14197.45,-1,Outlier
17346,3,16,2611.58,-1,Outlier
16959,86,1,117.35000000000001,5,One-Time
13297,7,4,2089.85,-1,Outlier
12505,300,1,-4.5,-1,Outlier
15110,23,5,970.25,0,VIP
14714,23,1,160.19,5,One-Time
16173,15,7,1406.57,-1,Outlier
14473,73,2,234.34000000000003,3,Outlier
13428,9,1,218.47,5,One-Time
13934,263,1,922.1,-1,Outlier
16048,85,3,243.69000000000003,-1,Outlier
17891,161,1,203.85999999999999,6,At-Risk
14732,7,9,2686.34,-1,Outlier
16956,8,2,292.34,3,Outlier
16316,63,9,2755.56,-1,Outlier
14193,67,2,853.39,3,Outlier
17879,173,1,178.51999999999998,6,At-Risk
13023,63,2,689.9,3,Outlier
13029,30,3,1247.5,2,Regular
15524,24,1,440.0,5,One-Time
17754,0,6,1739.92,-1,Outlier
13017,6,1,204.0,5,One-Time
14342,20,5,607.71,-1,Outlier
12749,3,6,3868.2,-1,Outlier
14738,38,8,1289.94,-1,Outlier
14476,256,1,215.7,6,At-Risk
15253,15,6,915.3,-1,Outlier
16560,20,3,816.51,2,Regular
15780,183,3,475.28000000000003,-1,Outlier
16965,226,1,201.19,6,At-Risk
15399,0,3,815.77,2,Regular
18010,256,1,174.8,6,At-Risk
13821,144,2,385.64,3,Outlier
16450,149,1,311.92,-1,Outlier
13937,168,1,158.85,6,At-Risk
15634,16,1,243.55,5,One-Time
17480,73,2,506.51,3,Outlier
14208,94,1,151.74,5,One-Time
18272,2,7,3064.78,-1,Outlier
15664,50,2,358.63,3,Outlier
16682,4,5,1028.0,0,VIP
17358,302,2,365.85,-1,Outlier
17498,75,1,272.22,5,One-Time
17861,2,9,2059.2,-1,Outlier
14592,34,3,570.46,2,Regular
14729,373,1,313.49,4,Churned
14723,9,6,1158.3,-1,Outlier
13145,39,5,614.77,-1,Outlier
17864,12,3,597.5,2,Regular
13273,112,1,138.98,-1,Outlier
12910,22,8,3075.04,-1,Outlier
15637,52,1,223.36,5,One-Time
15125,24,16,11117.05,-1,Outlier
13035,57,3,886.63,2,Regular
16828,92,2,128.5,-1,Outlier
15795,149,1,610.01,-1,Outlier
18278,73,1,173.9,5,One-Time
12627,10,7,4478.53,-1,Outlier
13276,63,2,590.9300000000001,3,Outlier
16438,5,5,798.35,-1,Outlier
12755,249,3,2203.2,-1,Outlier
15917,247,1,123.1,6,At-Risk
15768,115,4,581.8299999999999,-1,Outlier
14214,30,6,1000.23,-1,Outlier
15521,35,9,2574.65,-1,Outlier
14080,32,1,45.599999999999994,5,One-Time
13812,41,3,539.0,2,Regular
17870,1,13,1889.4,-1,Outlier
13690,58,1,172.25,5,One-Time
15396,112,1,288.18,-1,Outlier
17760,21,2,287.59,3,Outlier
13672,300,3,-71.46,-1,Outlier
14196,106,1,335.52,-1,Outlier
16447,135,1,259.01,-1,Outlier
16953,29,1,20.8,5,One-Time
15107,310,7,247.66,-1,Outlier
14875,8,3,1448.72,-1,Outlier
13431,66,2,1269.1,-1,Outlier
13827,57,3,412.05,2,Regular
17483,64,3,414.04,2,Regular
14068,319,1,265.85,6,At-Risk
18150,31,3,566.58,2,Regular
17873,79,6,1764.3600000000001,-1,Outlier
17221,6,2,335.13,3,Outlier
14997,45,4,540.98,1,Loyal
18004,361,1,169.47,4,Churned
18135,28,5,681.9100000000001,-1,Outlier
17492,247,1,374.57,6,At-Risk
18138,294,1,152.65,6,At-Risk
13026,0,6,936.15,-1,Outlier
18144,7,12,2888.75,-1,Outlier
14467,17,4,598.76,1,Loyal
12356,22,3,2811.43,-1,Outlier
12493,165,3,416.79,-1,Outlier
16045,119,4,1340.7,-1,Outlier
13285,22,4,2709.12,-1,Outlier
15393,15,2,231.86,3,Outlier
16429,105,1,284.55,5,One-Time
18147,45,2,179.33999999999997,3,Outlier
14062,9,12,10464.85,-1,Outlier
13538,42,7,1280.85,-1,Outlier
16030,309,1,331.24,-1,Outlier
14327,162,1,311.65,-1,Outlier
17206,52,1,204.24,5,One-Time
18013,154,2,187.29,3,Outlier
13282,17,4,1047.8400000000001,1,Loyal
16843,42,17,10183.82,-1,Outlier
16292,116,2,280.9,-1,Outlier
16816,102,4,417.06,-1,Outlier
15783,10,1,246.3,5,One-Time
17212,252,1,226.85,6,At-Risk
12359,7,5,6245.53,-1,Outlier
13279,63,2,126.30000000000001,3,Outlier
17602,1,7,5050.77,-1,Outlier
13958,371,1,-102.45,-1,Outlier
14595,19,6,1740.6,-1,Outlier
12624,105,2,641.13,3,Outlier
16688,0,4,1260.86,-1,Outlier
14988,211,1,334.54,-1,Outlier
18269,357,2,138.9,-1,Outlier
18257,38,9,2265.38,-1,Outlier
16569,2,1,124.2,5,One-Time
15265,150,2,1506.1200000000001,-1,Outlier
15116,17,4,1352.75,-1,Outlier
16706,36,3,531.35,2,Regular
12895,41,3,347.3,2,Regular
15661,316,2,309.8,-1,Outlier
14976,56,8,765.86,-1,Outlier
14333,63,2,351.45,3,Outlier
17233,34,1,190.88,5,One-Time
16054,144,1,783.9,-1,Outlier
13151,202,2,1250.3700000000001,-1,Outlier
12517,27,6,2464.89,-1,Outlier
13419,63,1,221.06,5,One-Time
18260,172,7,2595.0,-1,Outlier
14869,3,3,721.95,2,Regular
12377,314,2,1628.12,-1,Outlier
16319,217,1,404.40000000000003,-1,Outlier
12764,316,1,1693.88,-1,Outlier
17364,0,12,4455.73,-1,Outlier
13684,285,2,64.23,-1,Outlier
15640,3,16,12433.34,-1,Outlier
16825,38,2,775.1800000000001,3,Outlier
14598,43,1,221.97,5,One-Time
15789,357,1,351.3,4,Churned
18022,35,1,668.11,-1,Outlier
13669,50,2,218.55,3,Outlier
17486,260,1,396.87,6,At-Risk
13014,2,11,3365.43,-1,Outlier
16685,60,2,324.24,3,Outlier
12618,21,1,177.31,5,One-Time
17236,12,6,916.13,-1,Outlier
13038,79,3,908.46,-1,Outlier
17629,5,9,1784.12,-1,Outlier
13693,324,1,-32.0,-1,Outlier
16444,45,5,638.77,-1,Outlier
12883,24,4,703.47,1,Loyal
12514,266,1,1017.68,-1,Outlier
16581,154,2,70.44,-1,Outlier
12621,1,21,13612.07,-1,Outlier
16563,53,1,1077.74,-1,Outlier
16813,7,10,1692.98,-1,Outlier
16837,30,12,3167.73,-1,Outlier
14985,197,2,296.75,3,Outlier
12508,25,2,398.27,3,Outlier
15000,47,1,490.52,5,One-Time
14479,253,2,316.25,3,Outlier
17867,29,7,622.75,-1,Outlier
15372,136,1,2007.3999999999999,-1,Outlier
16557,23,2,281.85,3,Outlier
12362,2,11,5154.58,-1,Outlier
17995,281,1,76.1,6,At-Risk
16700,8,14,5040.0,-1,Outlier
14601,10,1,213.96,5,One-Time
17096,8,5,992.6800000000001,0,VIP
16712,8,11,3645.43,-1,Outlier
14857,59,3,1165.65,-1,Outlier
12383,184,6,1839.31,-1,Outlier
13166,281,2,414.7,-1,Outlier
13824,32,5,1698.94,-1,Outlier
15128,59,5,1419.54,-1,Outlier
14077,40,5,499.41999999999996,-1,Outlier
15244,64,2,631.57,3,Outlier
17888,18,9,525.78,-1,Outlier
16423,24,1,346.12,5,One-Time
17084,34,2,2949.75,-1,Outlier
16298,22,3,598.2,2,Regular
13562,81,3,1799.33,-1,Outlier
16426,1,10,1908.25,-1,Outlier
16441,66,2,381.2,3,Outlier
15899,368,1,56.25,4,Churned
12886,67,3,1351.09,-1,Outlier
17078,35,2,378.2,3,Outlier
16971,2,2,232.20999999999998,3,Outlier
15503,362,1,147.09,4,Churned
12365,290,3,320.69,-1,Outlier
15241,66,9,1738.59,-1,Outlier
15530,21,4,1502.35,-1,Outlier
13148,28,13,3348.48,-1,Outlier
13157,48,5,1721.57,-1,Outlier
14607,15,15,11341.1,-1,Outlier
14744,15,8,1088.53,-1,Outlier
13565,18,2,240.22,3,Outlier
16164,16,4,802.53,1,Loyal
12904,17,2,509.58,3,Outlier
15518,63,9,1911.89,-1,Outlier
17611,3,16,3947.87,-1,Outlier
13666,59,3,84.65,-1,Outlier
13425,107,3,1624.21,-1,Outlier
15643,178,4,647.4,-1,Outlier
13142,18,1,307.09,5,One-Time
16057,3,8,2140.2200000000003,-1,Outlier
15786,43,4,4834.2,-1,Outlier
12758,116,2,2791.59,-1,Outlier
14351,164,1,51.0,-1,Outlier
16709,84,5,3029.87,-1,Outlier
14854,77,8,2749.89,-1,Outlier
18001,11,2,417.23,3,Outlier
12633,58,5,2140.63,-1,Outlier
14220,246,2,632.4,-1,Outlier
17742,112,2,355.11,3,Outlier
18263,22,4,1211.08,1,Loyal
14482,17,6,2068.15,-1,Outlier
15256,148,1,98.45,-1,Outlier
17227,18,6,939.32,-1,Outlier
15649,335,2,816.0,-1,Outlier
13815,21,5,4014.91,-1,Outlier
13544,39,2,291.41,3,Outlier
17102,261,1,25.5,6,At-Risk
17495,7,2,497.56,3,Outlier
